word1,word2,human_score
soție,soț,4.22
carte,text,3.62
mire,mireasă,4.12
noapte,zi,1.63
sud,nord,1.42
avion,aeroport,2.55
unchi,mătușă,3.37
cal,iapă,4.5
bază,vârf,1.25
prieten,tovarăș,8.48
student,elev,5.6
lume,planetă,4.82
picior,braț,1.45
femeie,bărbat,2.02
cal,mânz,4.97
actriță,actor,4.18
profesor,instructor,5.92
film,peliculă,7.38
pasăre,șoim,4.08
cuvânt,dicționar,2.87
bani,salariu,4.33
câine,pisică,1.52
zonă,regiune,8.33
flotă,armată,4.4
carte,literatură,3.48
apus,răsărit,1.42
copil,adult,1.1
vacă,cireadă,3.02
carte,poveste,3.58
iarnă,vară,1.2
copac,arțar,4.25
pat,dormitor,2.8
acoperiș,tavan,4.65
boală,infecție,5.25
braț,umăr,2.95
oaie,miel,3.93
doamnă,gentleman,1.82
barcă,ancoră,2.38
preot,călugăr,4.47
mânie,furie,9.25
dată,calendar,3.77
mare,ocean,4.15
secundă,minut,2.67
lemn,buștean,6.1
noroi,mizerie,5.25
hol,coridor,8.97
mod,manieră,8.2
șoarece,pisică,1.63
polițist,șerif,5.72
moarte,înmormântare,4.57
muzică,melodie,7.08
bere,alcool,4.68
gură,buză,3.77
furtună,uragan,6.07
taxă,venit,1.2
floare,violetă,3.58
hârtie,carton,3.08
podea,tavan,1.07
plajă,țărm,6.03
galerie,perdea,2.52
stradă,alee,6.25
barcă,punte,1.85
mașină,claxon,2.52
prieten,oaspete,2.3
angajator,angajat,1.77
victorie,triumf,9.37
ușă,prag,2.95
motel,han,5.72
unghie,deget,2.95
trupă,orchestră,5.85
carte,biblie,3.37
afacere,industrie,3.48
iarnă,anotimp,3.55
deceniu,secol,2.1
alcool,gin,4.33
pălărie,palton,1.23
fereastră,ușă,1.13
casă,apartament,4.57
sticlă,cristal,3.65
creator,făcător,8.12
braț,mușchi,2.87
balon,clăbuc,4.9
pâine,făină,2.58
moarte,tragedie,4.22
absență,prezență,0.5
armă,tun,3.62
minge,coș,1.8
furtun,grădină,1.7
biserică,cor,2.63
turn,clopot,2.23
tată,părinte,7.8
școală,clasă,3.4
părinte,adult,4.78
gratie,închisoare,3.87
mașină,autostradă,2.45
dicționar,definiție,3.62
ușă,pivniță,1.2
armată,legiune,5.53
metal,aluminiu,4.0
scaun,bancă,2.98
nor,ceață,2.77
băiat,fiu,5.25
apă,gheață,2.7
pat,pătură,2.2
avocat,jurist,5.42
regiune,zonă,8.87
afacere,companie,5.43
pulover,jachetă,2.52
bani,capital,6.67
alcool,cocktail,3.87
yard,inch,3.05
moleculă,atom,4.33
masă,cină,4.53
ochi,lacrimă,2.55
dumnezeu,diavol,0.7
laț,sfoară,3.9
șobolan,șoarece,4.87
mașină,taxi,4.62
pisică,leu,1.95
mărime,magnitudine,4.9
realitate,fantezie,0.5
ușă,poartă,5.38
os,maxilar,3.08
cereală,grâu,4.82
casă,cheie,2.17
sânge,carne,1.82
ușă,coridor,1.25
dumnezeu,duh,4.87
capacitate,competență,8.02
abundență,belșug,9.4
canapea,scaun,3.2
zid,cărămidă,2.95
corn,tobă,1.32
organ,ficat,3.47
tărie,putere,7.98
sintagmă,cuvânt,3.77
trupă,paradă,3.12
stomac,talie,1.8
nor,furtună,2.27
bucurie,mândrie,2.67
zgomot,tărăboi,7.63
ploaie,ceață,1.7
bere,băutură,4.0
bărbat,unchi,2.98
măr,suc,1.92
inteligență,logică,4.4
comunicare,limbă,4.58
nurcă,blană,3.2
gloată,mulțime,8.68
țărm,coastă,6.13
sârmă,cablu,4.0
pasăre,curcan,3.77
pat,pătuț,6.13
competență,abilitate,9.12
nor,pâclă,3.2
cină,masă,4.85
gratie,cușcă,4.03
apă,sare,0.88
simț,intuiție,7.33
situație,condiție,5.38
infracțiune,furt,5.63
stil,modă,6.23
limită,frontieră,7.1
braț,corp,2.77
barcă,mașină,1.32
sandviș,prânz,2.05
mireasă,prințesă,1.92
eroină,erou,4.58
insectă,albină,4.12
pătuț,balansoar,2.45
animal,persoană,0.95
marijuana,iarbă,7.2
pat,spital,1.73
obraz,limbă,1.45
curbă,unghi,2.02
iarbă,mușchi,2.3
școală,lege,1.42
ortodont,dentist,6.57
alcool,whiskey,4.82
gură,dinte,2.92
baie,dormitor,1.1
farfurie,castron,2.95
carne,șuncă,4.47
aer,heliu,2.9
muncitor,angajator,1.7
corp,piept,2.17
fiu,tată,1.85
inimă,chirurgie,1.95
femeie,secretară,2.17
bărbat,tată,3.77
plajă,insulă,3.05
poveste,subiect,2.98
joc,distracție,5.07
weekend,săptămână,2.37
cuplu,pereche,8.93
femeie,soție,4.9
oaie,cireadă,1.82
poșetă,geantă,8.18
tavan,catedrală,0.92
bob,cafea,2.38
lemn,hârtie,1.95
infracțiune,fraudă,7.38
durere,daună,2.42
iubit,companion,4.4
seară,amurg,6.82
tată,fiică,1.7
vin,lichior,1.98
vacă,capră,1.38
credință,opinie,3.52
realitate,iluzie,0.25
pact,înțelegere,8.55
bunăstare,sărăcie,0.15
accident,urgență,2.95
bătălie,cucerire,3.4
prieten,profesor,1.23
boală,infecție,4.87
joc,șmecherie,1.92
frate,fiu,1.48
mătușă,nepot,1.85
muncitor,mecanic,3.05
doctor,ortodont,4.62
stejar,arțar,2.73
albină,matcă,4.53
mașină,bicicletă,1.17
scop,căutare,3.2
august,lună,3.08
armată,pluton,4.93
nor,vreme,2.3
medic,doctor,9.25
canion,vale,5.97
soare,cer,2.48
țintă,săgeată,2.62
ciocolată,plăcintă,1.17
circumstanță,situație,8.37
opinie,alegere,4.25
ritm,melodie,3.68
curaj,tupeu,6.53
zi,zori,4.37
cireadă,vită,3.3
doctor,profesor,2.55
braț,venă,1.95
cameră,baie,1.95
corporație,afacere,4.57
distracție,fotbal,2.02
deal,stâncă,1.32
os,gleznă,2.05
măr,bomboană,0.38
ajutor,slujnică,4.0
conducător,manager,6.28
lămâie,ceai,1.92
albină,furnică,1.53
baschet,baseball,2.05
orez,fasole,1.23
pat,mobilă,2.73
emoție,pasiune,4.93
anarhie,haos,6.53
infracțiune,violare,5.75
mașină,motor,2.92
plajă,mare,4.18
culoar,bilă,0.78
borcan,sticlă,2.58
tărie,capacitate,3.52
sămânță,muștar,1.13
chitară,tobă,1.53
opinie,idee,5.7
nord,vest,1.17
dietă,salată,2.3
mamă,soție,3.52
tată,mamă,2.67
căpitan,marinar,3.8
metru,yard,3.9
bere,șampanie,1.73
motor,barcă,2.27
știință,psihologie,3.2
păcătos,sfânt,0.15
distrugere,construcție,0.22
mulțime,gașcă,5.67
plajă,recif,1.52
bărbat,copil,0.92
pâine,brânză,0.92
campion,câștigător,8.75
sărbătorire,ceremonie,7.2
rege,prințesă,2.27
bunăstare,prestigiu,2.9
rezistență,tărie,7.45
pericol,amenințare,8.15
dumnezeu,preot,1.8
tovarăș,companion,6.35
profesor,ajutor,2.63
corp,stomac,1.88
limbă,gâtlej,1.8
casă,covor,1.03
inteligență,abilitate,5.1
călătorie,cucerire,1.1
zeu,pradă,0.25
frate,suflet,1.32
adversar,oponent,9.0
moarte,catastrofă,3.77
monstru,demon,6.03
zi,dimineață,3.47
bărbat,învingător,1.0
prieten,tip,2.38
cântec,poveste,1.23
tip,mascul,4.93
pui,orez,0.75
cutie,lift,0.85
apartament,mobilă,1.63
lac,mlaștină,3.08
salată,oțet,1.73
floare,bulb,2.38
nor,ceață,2.8
șofer,pilot,4.15
zahăr,miere,2.95
corp,umăr,1.85
idee,imagine,2.45
tată,frate,1.52
lună,planetă,1.98
bal,costumație,2.38
bară,gard,1.63
cameră,pat,1.92
floare,tufiș,1.32
os,genunchi,2.2
braț,genunchi,1.17
pisică,iepure,0.95
carne,sandviș,1.23
credință,concept,4.12
inteligență,intuiție,4.03
atenție,interes,6.32
atitudine,încredere,2.92
ceartă,înțelegere,0.13
adâncime,magnitudine,2.87
câștigător,candidat,1.73
taxă,plată,6.25
biblie,imn,0.88
ieșire,ușă,4.05
bărbat,santinelă,1.2
culoar,sală,1.42
whiskey,gin,2.87
sânge,măduvă,1.85
podea,punte,3.02
acoperiș,podea,0.47
ușă,podea,0.67
umăr,cap,0.97
mașină,trăsură,1.52
cot,gleznă,0.85
bunăstare,faimă,2.17
necaz,rușine,2.33
comunicare,conversație,7.23
poluare,atmosferă,2.08
anatomie,biologie,3.93
colegiu,profesie,1.98
carte,subiect,1.98
formulă,ecuație,5.03
carte,informație,3.87
băiat,partener,3.05
cer,univers,3.08
populație,oameni,6.63
colegiu,clasă,2.45
șef,primar,3.02
rabin,pastor,4.47
metru,inch,3.55
poliester,bumbac,1.0
avocat,bancher,0.72
vioară,instrument,3.9
tabără,cabană,2.33
in,țesătură,3.33
whiskey,șampanie,2.08
fată,copil,2.63
căsuță,cabană,4.58
pasăre,găină,4.85
rachetă,zgomot,1.7
apus,seară,5.53
burniță,ploaie,4.68
adult,bebeluș,0.25
cap,unghie,0.57
buștean,cherestea,3.05
lingură,ceașcă,1.0
corp,nerv,1.73
bărbat,soț,5.42
os,gât,1.28
frustrare,mânie,5.22
sarcină,slujbă,4.47
club,societate,3.3
reflexie,imagine,4.4
prinț,rege,3.2
zăpadă,vreme,1.73
oameni,petrecere,1.53
băiat,frate,2.48
rădăcină,iarbă,1.45
sprânceană,ochi,1.98
bani,perlă,0.85
bani,diamant,1.17
vehicul,autobuz,4.57
taxi,autobuz,2.08
casă,grajd,0.78
deget,palmă,2.27
mașină,pod,0.35
efort,dificultate,5.03
fapt,intuiție,1.67
cancer,boală,4.25
cuvânt,ziar,1.95
compozitor,scriitor,4.0
actor,cântăreț,1.85
adăpost,colibă,3.75
baie,bucătărie,1.03
cabană,colibă,4.85
ușă,bucătărie,1.2
