POS	word_en_1	word_en_2	word_ro_1	word_ro_2	ro pair accept	conc(w1)	conc(w2)	en human  scores	ro human scores	ro human scores specialists	Corola (400.5)	Corola (300.20)	Facebook	Conll (2017)	path (ro)	lch (ro)	wup  (ro)	path (en)	lch (en)	wup (en)
N	wife	husband	soție	soț	1	4.13	4.11	2.3	4.22	3.75	0.8	0.81	0.65	0.83	0.33	3.42	0.67	0.33	2.54	0.6
N	book	text	carte	text	1	4.9	4.93	6.35	3.62	5.83	0.31	0.42	0.29	0.33	0.17	2.42	0.71	0.5	2.94	0.95
N	groom	bride	mire	mireasă	1	4.54	4.63	3.17	4.12	3.75	0.62	0.67	0.51	0.62	0.1	1.68	0.56	0.33	2.54	0.91
N	night	day	noapte	zi	1	4.52	3.92	1.88	1.63	2.08	0.57	0.6	0.4	0.66	0.25	3	0.83	0.33	2.54	0.83
N	south	north	sud	nord	1	3.84	4.14	2.2	1.42	2.08	0.85	0.89	0.97	0.94	0.25	3	0.88	0.33	2.54	0.88
N	plane	airport	avion	aeroport	1	4.92	4.87	3.65	2.55	1.25	0.6	0.62	0.56	0.67	0.09	1.54	0.4	0.11	1.44	0.56
N	uncle	aunt	unchi	mătușă	1	4.24	4.17	5.5	3.37	2.5	0.64	0.71	0.29	0.6	0.17	2.42	0.75	0.2	2.03	0.6
N	horse	mare	cal	iapă	1	5	4.75	8.33	4.5	3.33	0.57	0.61	0.39	0.63	0.33	3.42	0.96	0.5	2.94	0.97
N	bottom	top	bază	vârf	1	4.25	3.93	0.7	1.25	1.25	0.21	0.25	0.33	0.65	0.2	2.68	0.82	0.33	2.54	0.9
N	friend	buddy	prieten	tovarăș	1	3.07	3.48	8.78	8.48	9.58	0.59	0.64	0.47	0.58	0.33	3.42	0.92	0.5	2.94	0.71
N	student	pupil	student	elev	1	4.92	4.55	9.35	5.6	6.25	0.65	0.67	0.66	0.69	0.33	3.42	0.93	1	3.64	1
